ID Flux;Période;Type de flux;Fixes;Catégorie;Sous-catégorie;Date;Montant;Tags;Description
43;Ecole;Sortie;Variable;Divertissement;Boulangerie;2024-09-10;2.20000;#pain;Pain Marie Blachère
44;Ecole;Sortie;Fixe;Transports;Assurance véhicule;2024-09-11;54.37000;#simba;Assurance Simba septembre 2024
45;Ecole;Entrée;Exceptionnel;Hygiène;Sanitaire;2024-09-07;12.10000;#remboursement;Remboursement crème Marseille
46;Ecole;Sortie;Variable;Divertissement;Cantine;2024-09-11;10.00000;#crous;Cantine crous
47;Ecole;Sortie;Variable;Divertissement;Restauration;2024-09-13;11.75000;#mcdo;McDo fin de semaine
48;Ecole;Sortie;Variable;Courses;Féculents;2024-09-17;3.90000;#ravioli;Mini Courses
49;Ecole;Sortie;Variable;Courses;Fromages;2024-09-17;1.98000;#cheddar;Mini Courses
50;Ecole;Sortie;Variable;Courses;Desserts;2024-09-17;2.15000;#liegois;Mini Courses
51;Ecole;Sortie;Variable;Courses;Jus;2024-09-19;1.50000;#oasis;Oasis à Tetras
52;Ecole;Sortie;Variable;Transports;Carburant;2024-09-19;65.00000;#gazole;Gazole fin Tetras septembre
53;Ecole;Sortie;Fixe;Emprunt;Bancaire;2024-09-20;129.43000;#emprunt;Emprunt bancaire
54;Ecole;Sortie;Variable;Divertissement;Restauration;2024-09-20;16.40000;#bk;Burger King en groupe
55;Ecole;Sortie;Variable;Cadeau;Ami;2024-09-21;23.49000;#cadeau;Cadeau Polo Guillaume
56;Ecole;Sortie;Variable;Transports;Autoroute;2024-09-21;11.90000;#autoroute;Autoroute direction SMH
57;Ecole;Sortie;Variable;Courses;Fromages;2024-09-21;3.35000;courses;Courses entreprise : fromages
58;Ecole;Sortie;Variable;Courses;Desserts;2024-09-21;3.99000;courses;Courses entreprise : yaourts
59;Ecole;Sortie;Variable;Courses;Pain;2024-09-21;2.09000;courses;Courses entreprise : pain au chocolat
60;Ecole;Sortie;Variable;Courses;Féculents;2024-09-21;1.85000;courses;Courses entreprise : gnocchi
61;Ecole;Sortie;Variable;Courses;Fruits;2024-09-21;1.51000;courses;Courses entreprise : pommes
62;Ecole;Sortie;Variable;Courses;Jus;2024-09-21;1.55000;courses;Courses entreprise : jus de pommes
63;Ecole;Sortie;Variable;Courses;Jus;2024-09-21;2.45000;courses;Courses entreprise : pulco
64;Entreprise;Sortie;Variable;Esthétique;Coiffeur;2024-09-24;12.00000;#coiffeur;Coiffeur
65;Entreprise;Sortie;Variable;Courses;Sucrerie;2024-09-24;5.79000;#nutella;Course entreprises
66;Entreprise;Sortie;Variable;Courses;Sauces;2024-09-24;3.12000;#tomates #cuisine;Course entreprises : 3 x tomates cuisines
67;Entreprise;Sortie;Variable;Courses;Fromages;2024-09-24;1.85000;#chevre;Course entreprises
68;Entreprise;Sortie;Variable;Courses;Viandes;2024-09-24;7.98000;#steak #poulet;Course entreprises
69;Entreprise;Sortie;Variable;Courses;Fromages;2024-09-24;1.69000;#feuilletes #emmental;Course entreprises
70;Entreprise;Sortie;Variable;Courses;Fromages;2024-09-24;1.98000;#trois fromages;Course entreprises
71;Entreprise;Sortie;Variable;Courses;Fromages;2024-09-24;1.65000;#parmesan;Course entreprises
72;Entreprise;Sortie;Variable;Courses;Légumes;2024-09-24;2.99000;#poelle #legumes;Course entreprises
73;Entreprise;Sortie;Variable;Courses;Légumes;2024-09-24;1.62000;#epinards #legumes;Course entreprises
74;Entreprise;Sortie;Variable;Courses;Viandes;2024-09-24;6.39000;#merguez #viandes;Course entreprises
75;Entreprise;Sortie;Variable;Courses;Légumes;2024-09-24;1.65000;#champignons #legumes;Course entreprises
76;Entreprise;Sortie;Variable;Courses;Pain;2024-09-24;1.69000;#pain #mie;Course entreprises
77;Entreprise;Sortie;Variable;Courses;Pain;2024-09-25;2.45000;#pain;Mini courses
78;Entreprise;Sortie;Variable;Courses;Sauces;2024-09-25;2.29000;#samourai;Mini courses
79;Entreprise;Sortie;Variable;Courses;Fromages;2024-09-25;1.79000;#burger;Mini courses
80;Ecole;Sortie;Fixe;Cadeau;Don;2024-09-10;10.00000;#don;Don Croix Rouge septembre 2024
81;Entreprise;Sortie;Variable;Mode;Accessoires;2024-09-27;1.98000;#bricolage #bijou;Bricolage bijou
82;Entreprise;Sortie;Variable;Divertissement;Restauration;2024-09-27;29.20000;#kfc;KFC avec Nils et Rémy
83;Entreprise;Entrée;Exceptionnel;Emploi;Salaire;2024-10-01;1545.00000;#solde;Solde tout compte contrat Ensimag
84;Entreprise;Entrée;Fixe;Emploi;Salaire;2024-10-01;1699.90000;#salaire;Salaire Septembre 2024
85;Entreprise;Sortie;Exceptionnel;Epargne;Livret A;2024-10-01;1545.00000;#solde;Mis en epargne du solde fin ENSIMAG
86;Entreprise;Sortie;Variable;Epargne;Livret A;2024-09-30;200.00000;#epargne;Reste du mois de septembre
87;Entreprise;Sortie;Fixe;Epargne;Livret A;2024-10-01;350.00000;#epargne;Epargne début Octobre
88;Entreprise;Sortie;Fixe;Logement;Loyer;2024-10-01;390.00000;#loyer;Loyer octobre 2024
89;Entreprise;Sortie;Fixe;Cadeau;Famille;2024-10-01;200.00000;#cadeau #famille;Cadeau pour maman et papa
90;Entreprise;Sortie;Variable;Transports;Autoroute;2024-10-02;12.20000;#autoroute;Autoroute aller Annecy pour Hopital
91;Entreprise;Sortie;Variable;Transports;Parking;2024-10-02;2.60000;#parking;Parking Hopital
92;Entreprise;Sortie;Fixe;Transports;Carburant;2024-10-02;57.01000;#gazole;Gazole auchan pendant hopital
93;Entreprise;Sortie;Variable;Transports;Autoroute;2024-10-02;11.90000;#autoroute;Autoroute retour Hopital
94;Entreprise;Sortie;Variable;Mode;Haut;2024-10-02;50.24000;#suits;Suits pour le mariage de Julien
95;Entreprise;Sortie;Variable;Courses;Fromages;2024-10-02;4.34000;#fromages;Mini courses : Tartare chève pour chapatti
96;Entreprise;Sortie;Variable;Courses;Pain;2024-10-02;2.39000;#parotta;Mini courses : Parotta
97;Entreprise;Sortie;Fixe;Abonnement;Streaming;2024-10-03;13.49000;#netflix;Netflix
98;Entreprise;Sortie;Exceptionnel;Santé;Santé;2024-10-03;16.40000;#pharmacie;Poire et crème pour nez
99;Entreprise;Sortie;Variable;Divertissement;Restauration;2024-10-04;18.10000;#BK;BK colloc
100;Entreprise;Entrée;Fixe;Aide;CAF;2024-10-04;385.28000;#caf;Aide CAF octobre 2024
101;Entreprise;Sortie;Variable;Transports;Autoroute;2024-10-05;11.90000;#autoroute;Autoroute direction Bellegarde
102;Entreprise;Sortie;Variable;Divertissement;Boulangerie;2024-10-05;5.80000;#boulangerie;Boulangerie pour la famille
103;Entreprise;Sortie;Variable;Divertissement;Cinéma;2024-10-05;8.00000;#cinema;Cinema Valserhone Joker
104;Ecole;Sortie;Fixe;Transports;Assurance véhicule;2024-10-07;77.59000;#assurance;Assurance Flash Octobre 2024
105;Ecole;Sortie;Variable;Courses;Apéritifs;2024-10-09;1.59000;#chips;Mini courses ecole
106;Ecole;Sortie;Variable;Courses;Sauces;2024-10-09;2.29000;#sauce #doritos : ;Mini courses ecole : sauce doritos
107;Ecole;Sortie;Variable;Courses;Sucrerie;2024-10-09;1.45000;#bn;Mini courses ecole
108;Ecole;Sortie;Variable;Courses;Sucrerie;2024-10-09;1.35000;#pims;Mini courses ecole
109;Ecole;Sortie;Variable;Courses;Fromages;2024-10-09;2.35000;#carre;Mini courses ecole
110;Ecole;Sortie;Variable;Courses;Desserts;2024-10-09;2.00000;#flan;Mini courses ecole
111;Ecole;Sortie;Fixe;Cadeau;Don;2024-10-10;10.00000;#don;Don Croix rouge
112;Ecole;Sortie;Fixe;Divertissement;Café;2024-10-10;2.00000;#bde;Coca Bueno BDE
113;Ecole;Sortie;Fixe;Transports;Assurance véhicule;2024-10-11;54.37000;#assurance;Assurance Simba
114;Ecole;Sortie;Fixe;Transports;Carburant;2024-10-12;63.53000;#gazole;Gazole pour Paris
115;Ecole;Sortie;Fixe;Divertissement;Boulangerie;2024-10-12;3.00000;#café;Cappucino aire de repos
116;Ecole;Sortie;Fixe;Transports;Tram;2024-10-12;6.45000;#ratp;Transport direction Dome de paris Hip Hop Tamizha
117;Ecole;Sortie;Fixe;Transports;Tram;2024-10-13;6.45000;#ratp;Transport direction Hotel Hip Hop Tamizha
118;Ecole;Sortie;Fixe;Divertissement;Restauration;2024-10-13;25.20000;#BK;BK Paris retour Hip Hop Tamizha
119;Ecole;Sortie;Fixe;Divertissement;Restauration;2024-10-13;35.20000;#McDo;McDo autoroute retour Hip Hop Tamizha
120;Ecole;Sortie;Variable;Courses;Sucrerie;2024-10-14;5.55000;#lidl;Kinder et biscuits
121;Ecole;Sortie;Variable;Courses;Fromages;2024-10-14;2.04000;#lidl;Cheddar
122;Ecole;Sortie;Variable;Mode;Accessoires;2024-10-16;3.48000;#necklace;Culture corde pour collier
123;Ecole;Sortie;Variable;Mode;Accessoires;2024-10-16;35.00000;#necklace;Bijou pour Julien mariage
124;Ecole;Sortie;Variable;Cadeau;Don;2024-10-16;3.47000;#sdf;Aide SDF
125;Ecole;Sortie;Variable;Divertissement;Jeux-vidéos;2024-10-16;3.00000;#cadenas;Cadenas bricomarché
126;Ecole;Sortie;Variable;Transports;Carburant;2024-10-16;64.98000;#gazole;Gazole pour flash
127;Ecole;Sortie;Variable;Divertissement;Cantine;2024-10-17;10.00000;#crous;Cantine Crous
128;Ecole;Sortie;Variable;Courses;Sauces;2024-10-17;2.99000;#courses;Algérienne
129;Ecole;Sortie;Variable;Courses;Pain;2024-10-17;1.69000;#courses;Pain de mie
130;Ecole;Sortie;Variable;Epargne;Revolut;2024-10-18;100.00000;#revolut;Revolut
131;Ecole;Sortie;Variable;Divertissement;Jeux-vidéos;2024-10-18;37.98000;#jouets;Rubiks cube et Ferrari
132;Ecole;Sortie;Variable;Divertissement;Restauration;2024-10-18;16.00000;#tacos;O Tacos
133;Ecole;Sortie;Variable;Divertissement;Boulangerie;2024-10-18;2.00000;#pause;BDE
134;Ecole;Sortie;Variable;Transports;Autoroute;2024-10-20;11.90000;#autoroute;Autoroute direction SMH
135;Entreprise;Sortie;Variable;Transports;Autoroute;2024-10-21;20.00000;#cantine;Cantine Elior
136;Entreprise;Sortie;Variable;Divertissement;Boulangerie;2024-10-21;10.00000;#viennoiserie;Boulangerie pour collègues
137;Entreprise;Sortie;Fixe;Emprunt;Bancaire;2024-10-21;129.43000;#emprunt;Emprunt
138;Entreprise;Sortie;Fixe;Courses;Apéritifs;2024-10-21;2.78000;#chips;Courses entreprises
139;Entreprise;Sortie;Variable;Courses;Fromages;2024-10-21;4.90000;#boursin #chevre;Courses entreprises
140;Entreprise;Sortie;Variable;Courses;Féculents;2024-10-21;3.20000;#pates;2kg Pâtes
141;Entreprise;Sortie;Variable;Courses;Pain;2024-10-21;1.49000;#pain;Pain de mie
142;Entreprise;Sortie;Variable;Courses;Légumes;2024-10-21;3.98000;#champignons;Champignons
143;Entreprise;Sortie;Variable;Courses;Sauces;2024-10-21;1.99000;#creme;Courses entreprises
144;Entreprise;Sortie;Variable;Courses;Légumes;2024-10-21;1.19000;#pommes #duchesse;Courses entreprises
145;Entreprise;Sortie;Variable;Courses;Desserts;2024-10-21;2.25000;#yaourts;Courses entreprises
146;Entreprise;Sortie;Variable;Courses;Pain;2024-10-21;1.79000;#pain;Courses entreprises : pain au lait
147;Entreprise;Sortie;Variable;Courses;Soda;2024-10-21;4.06000;#coca;Courses entreprises
148;Entreprise;Sortie;Variable;Courses;Soda;2024-10-21;1.95000;#sac;Courses entreprises
149;Entreprise;Sortie;Fixe;Transports;Carburant;2024-10-24;63.94000;#gazole;Gazole flash
150;Entreprise;Sortie;Variable;Courses;Sauces;2024-10-26;1.98000;#tomates #cuisines;Courses entreprises Lidl
151;Entreprise;Sortie;Variable;Courses;Desserts;2024-10-26;2.29000;#yaourts;Courses entreprises Lidl
152;Entreprise;Sortie;Variable;Courses;Lait;2024-10-26;2.00000;#lait;Courses entreprises Lidl
153;Entreprise;Sortie;Variable;Courses;Sucrerie;2024-10-26;8.48000;#chewing;Courses entreprises Lidl
154;Entreprise;Sortie;Variable;Courses;Café;2024-10-26;3.58000;#cafe;Courses entreprises Lidl
155;Entreprise;Sortie;Variable;Courses;Fromages;2024-10-26;1.98000;#fromages #rape;Courses entreprises Lidl
156;Entreprise;Sortie;Variable;Courses;Café;2024-10-26;1.58000;#cappucino;Courses entreprises Lidl
157;Entreprise;Sortie;Variable;Courses;Jus;2024-10-26;1.55000;#raisin;Courses entreprises Carrefour
158;Entreprise;Sortie;Variable;Courses;Fromages;2024-10-26;1.79000;#cheddar #tranches;Courses entreprises Carrefour
159;Entreprise;Sortie;Variable;Courses;Sauces;2024-10-26;2.29000;#samourai;Courses entreprises Carrefour
160;Entreprise;Sortie;Variable;Courses;Fruits;2024-10-26;2.99000;#clementine;Courses entreprises Carrefour
161;Entreprise;Sortie;Variable;Courses;Viandes;2024-10-26;10.62000;#viandes;Courses entreprises Carrefour
162;Entreprise;Sortie;Variable;Courses;Alcool;2024-10-26;11.20000;#malibu;Courses entreprises Carrefour
166;Entreprise;Sortie;Variable;Courses;Pain;2024-10-26;1.79000;#mie;Courses entreprises Carrefour
167;Entreprise;Sortie;Variable;Courses;Jus;2024-10-26;1.55000;#pommes;Courses entreprises Carrefour
168;Entreprise;Sortie;Variable;Courses;Viandes;2024-10-26;2.69000;#steak;Courses entreprises Lidl
169;Entreprise;Sortie;Variable;Cadeau;Don;2024-10-28;2.00000;#jsp;Cotisation mensuelle
170;Entreprise;Entrée;Exceptionnel;Emploi;Primes;2024-10-29;493.64000;#amundi;Parts Amundi
171;Entreprise;Sortie;Variable;Transports;Autoroute;2024-10-31;11.90000;#autoroute;TRajet direction Valserhone
172;Entreprise;Sortie;Variable;Courses;Sucrerie;2024-10-31;7.85000;#chocolat;Ferrero Deepavali
173;Entreprise;Sortie;Variable;Courses;Légumes;2024-11-02;10.49000;#provences #halles;Courses maman
174;Entreprise;Sortie;Variable;Courses;Pain;2024-11-02;3.30000;#pain;Courses maman
175;Entreprise;Sortie;Fixe;Abonnement;Streaming;2024-11-03;13.49000;#netflix;Netflix Novembre 2024
176;Ecole;Entrée;Fixe;Emploi;Salaire;2024-11-04;1703.85000;#salaire;Salaire Octobre 2024
177;Ecole;Sortie;Fixe;Epargne;Livret A;2024-11-04;350.00000;#epargne;Epargne debut Novembre 2024
178;Ecole;Sortie;Fixe;Cadeau;Famille;2024-11-04;200.00000;#famille;Cadeau pour papa et maman
179;Ecole;Sortie;Fixe;Logement;Loyer;2024-11-04;390.00000;#loyer;Loyer Novembre 2024
180;Ecole;Sortie;Exceptionnel;Cadeau;Famille;2024-11-04;500.00000;#primes;Cadeau pour maman pour primes
181;Ecole;Sortie;Fixe;Transports;Assurance véhicule;2024-11-05;77.59000;#assurance #flash;Assurance Flash Novembre 2024
182;Ecole;Sortie;Variable;Divertissement;Restauration;2024-11-05;14.10000;#bk;Burger King avec Matthieu
183;Ecole;Entrée;Variable;Aide;CAF;2024-11-05;392.28000;#caf;Aide CAF Novembre 2024
184;Ecole;Sortie;Exceptionnel;Divertissement;Vacances;2024-11-06;15.90000;#rome;CSE Trixell pour Rome
185;Ecole;Sortie;Exceptionnel;Divertissement;Brasserie;2024-11-06;0.40000;#cafe;Café Tetras
186;Ecole;Sortie;Exceptionnel;Transports;Carburant;2024-11-07;67.06000;#gazole;Gazole pour Flash
187;Ecole;Sortie;Exceptionnel;Divertissement;Restauration;2024-11-08;4.95000;#McDo;McDonalds avec les potes
188;Ecole;Sortie;Exceptionnel;Divertissement;Restauration;2024-11-08;13.70000;#BK;BK appel Priya
189;Ecole;Sortie;Exceptionnel;Divertissement;Restauration;2024-11-09;33.70000;#Milton #Pub;Restaurant pour Alexis et Octavia
190;Entreprise;Sortie;Variable;Transports;Autoroute;2024-11-11;11.90000;#autoroute;Trajet direction SMH
191;Entreprise;Sortie;Fixe;Cadeau;Don;2024-11-11;10.00000;#croix #rouge;Aide Croix Rouge
192;Entreprise;Sortie;Fixe;Transports;Assurance véhicule;2024-11-12;53.60000;#assurance #simba;Assurance Simba Novembre 2024
193;Entreprise;Sortie;Variable;Divertissement;Cantine;2024-11-12;20.00000;elior;Cantine Elior
194;Entreprise;Sortie;Variable;Courses;Apéritifs;2024-11-13;1.19000;#chips;Courses Carrefour début Enteprise
195;Entreprise;Sortie;Variable;Courses;Sucrerie;2024-11-13;1.69000;#danettes;Courses Carrefour début Enteprise
196;Entreprise;Sortie;Variable;Courses;Fromages;2024-11-13;2.09000;#emmental;Courses Carrefour début Enteprise
197;Entreprise;Sortie;Variable;Courses;Viandes;2024-11-13;4.98000;#dinde #blanc;Courses Carrefour début Enteprise
198;Entreprise;Sortie;Variable;Courses;Sauces;2024-11-13;2.29000;#samourai;Courses Carrefour début Enteprise
199;Entreprise;Sortie;Variable;Courses;Fromages;2024-11-13;2.03000;#cheddar;Courses Carrefour début Enteprise
200;Entreprise;Sortie;Variable;Courses;Sauces;2024-11-13;0.99000;#harrissa;Courses Carrefour début Enteprise
201;Entreprise;Sortie;Variable;Courses;Pain;2024-11-13;1.89000;#pain #mie;Courses Carrefour début Enteprise
202;Entreprise;Sortie;Variable;Courses;Sucrerie;2024-11-13;6.15000;#kinder #bueno;Courses Carrefour début Enteprise
203;Entreprise;Sortie;Variable;Divertissement;Restauration;2024-11-15;9.00000;#burger;Burger avec les copains
204;Entreprise;Sortie;Variable;Mode;T-shirt;2024-11-16;4.50000;#t-shirt;Kiabi : T-Shirt bleu
205;Entreprise;Sortie;Variable;Mode;Haut;2024-11-16;11.00000;#chemise;Kiabi : Chemises marin
206;Entreprise;Sortie;Variable;Mode;Haut;2024-11-16;8.00000;#chemise;Kiabi : Chemises vert
207;Entreprise;Sortie;Variable;Mode;T-shirt;2024-11-16;5.00000;#t-shirt;Kiabi : T-Shirt beige
208;Entreprise;Sortie;Variable;Courses;Desserts;2024-11-16;3.99000;#yaourts;Courses Carrefour
209;Entreprise;Sortie;Variable;Courses;Légumes;2024-11-16;1.35000;#epinards;Courses Carrefour
210;Entreprise;Sortie;Variable;Courses;Fromages;2024-11-16;2.25000;#chèvre;Courses Carrefour
211;Entreprise;Sortie;Variable;Courses;Fromages;2024-11-16;1.95000;#mimolettes;Courses Carrefour
212;Entreprise;Sortie;Variable;Courses;Lait;2024-11-16;1.99000;#beurre;Courses Carrefour
213;Entreprise;Sortie;Variable;Courses;Sauces;2024-11-16;2.65000;#mayonnaise;Courses Carrefour
214;Entreprise;Sortie;Variable;Courses;Fromages;2024-11-16;5.99000;#raclette;Courses Carrefour
215;Entreprise;Sortie;Variable;Courses;Desserts;2024-11-16;1.09000;#liegeois;Courses Carrefour
216;Entreprise;Sortie;Variable;Courses;Légumes;2024-11-16;3.85000;#poelle #paysanne;Courses Carrefour
217;Entreprise;Sortie;Variable;Courses;Légumes;2024-11-16;3.49000;#poelle #rustic;Courses Carrefour
218;Entreprise;Sortie;Variable;Courses;Fruits;2024-11-16;2.49000;#clementine;Courses Carrefour
219;Entreprise;Sortie;Variable;Courses;Viandes;2024-11-16;9.33000;#filet #poulet;Courses Carrefour
220;Entreprise;Sortie;Variable;Courses;Légumes;2024-11-16;0.99000;#oignon #rouge;Courses Carrefour
221;Entreprise;Sortie;Variable;Courses;Pain;2024-11-16;2.59000;#brioches;Courses Carrefour
222;Entreprise;Sortie;Variable;Courses;Pain;2024-11-16;1.79000;#mie;Courses Carrefour
223;Entreprise;Sortie;Variable;Courses;Viandes;2024-11-16;2.25000;#pannee #poulet;Courses Carrefour
224;Entreprise;Sortie;Exceptionnel;Divertissement;Informatique;2024-11-18;79.99000;#clavier;Clavier Logitech MX Keys S Plus à Darty
225;Entreprise;Sortie;Variable;Esthétique;Coiffeur;2024-11-19;12.00000;#coiffeur;Coiffeur
226;Entreprise;Sortie;Fixe;Emprunt;Bancaire;2024-11-20;129.43000;#emprunt;Emprunt bancaire Novembre 2024
227;Entreprise;Sortie;Variable;Transports;Carburant;2024-11-21;64.98000;#gazole;Gazole pour Flash
228;Entreprise;Sortie;Variable;Autre;Autre;2024-11-21;2.25000;#jsp;Assurance moyen de paiement
229;Entreprise;Sortie;Variable;Mode;Haut;2024-11-22;39.99000;#jumper;Celio : Jumper noir XXL
230;Entreprise;Sortie;Variable;Mode;Haut;2024-11-22;39.99000;#jumper;Celio : Jumper blanc XXL
231;Entreprise;Sortie;Variable;Cadeau;Ami;2024-11-22;15.99000;#polo;Celio : Polo pour rémy
232;Entreprise;Sortie;Variable;Divertissement;Restauration;2024-11-23;32.00000;#restaurant;Anniv Rémy : Restaurant
233;Entreprise;Sortie;Variable;Divertissement;Brasserie;2024-11-23;22.50000;#bar;Anniv Rémy : Bar chez Nat
234;Entreprise;Sortie;Variable;Transports;Tram;2024-11-23;2.00000;#tram;Anniv Rémy : Tram
235;Entreprise;Sortie;Variable;Autre;Autre;2024-11-23;2.00000;#jsp;Costisation mensuelle
236;Entreprise;Sortie;Variable;Divertissement;Restauration;2024-11-27;15.50000;#naan;Naan au 113
237;Entreprise;Sortie;Variable;Divertissement;Restauration;2024-11-28;16.40000;#kfc;KFC avec le RAR
238;Entreprise;Sortie;Variable;Divertissement;Restauration;2024-11-29;19.00000;#kebab;Tacos Kebab au travail
239;Entreprise;Sortie;Variable;Cadeau;Famille;2024-11-29;19.80000;#primark;Pantalon Primark pour Ramya
240;Entreprise;Sortie;Variable;Transports;Autoroute;2024-11-29;11.90000;#autoroute;Trajet direction Valserhône
241;Entreprise;Sortie;Variable;Transports;Autoroute;2024-11-30;11.90000;#autoroute;Trajet direction SMH pour SSD
242;Entreprise;Sortie;Variable;Transports;Carburant;2024-11-30;58.58000;#gazole;Trajet direction SMH pour SSD
243;Entreprise;Sortie;Variable;Transports;Autoroute;2024-12-01;11.90000;#autoroute;Trajet direction Valserhône pour SSD
244;Entreprise;Sortie;Variable;Divertissement;Boulangerie;2024-11-29;5.40000;#croustine;Petit dej Croustine
245;Ecole;Entrée;Variable;Emploi;Salaire;2024-12-02;2187.11000;#salaire;Salaire avec 13 ème mois
246;Ecole;Sortie;Fixe;Cadeau;Famille;2024-12-02;200.00000;#parents;Cadeau pour Papa et Maman
247;Ecole;Sortie;Fixe;Logement;Loyer;2024-12-02;390.00000;#loyer;Loyer Décembre 2024
248;Ecole;Sortie;Fixe;Epargne;Livret A;2024-12-02;350.00000;#epargne;Epargne début mois
249;Ecole;Sortie;Variable;Epargne;BoursoBank;2024-12-04;100.00000;#epargne;Epargne fin novembre sur Bourso Bank
250;Ecole;Sortie;Variable;Divertissement;Boulangerie;2024-12-02;0.40000;#cafe;Café Tetras
251;Ecole;Sortie;Variable;Abonnement;Streaming;2024-12-03;13.49000;#netflix;Netflix Décembre 2024
252;Ecole;Entrée;Variable;Aide;CAF;2024-12-05;392.28000;#apl;Prime et APL décembre 2024
253;Ecole;Sortie;Fixe;Transports;Assurance véhicule;2024-12-05;77.59000;#assurance;Assurance Flash décembre 2024
